;vorname;anzahl;geschlecht;position
CW;Thiago;4;m;1
CW;Viktor;4;m;1
CW;Yasin;4;m;1
CW;Yunis;4;m;1
CW;Yunus;4;m;1
CW;Maria;3;w;4
CW;Jonathan;3;m;3
CW;Alexandra;3;w;3
CW;Maximilian;3;m;3
CW;Angelika;3;w;3
CW;Mohamed;3;m;3
CW;Charlotte;3;w;3
CW;Wilhelm;3;m;3
CW;Emma;3;w;3
CW;Helene;3;w;3
CW;Katharina;3;w;3
CW;Luisa;3;w;3
CW;Olivia;3;w;3
CW;Renate;3;w;3
CW;Annemarie;3;w;2
CW;Anouk;3;w;2
CW;Carina;3;w;2
CW;Christina;3;w;2
CW;Edith;3;w;2
CW;Elif;3;w;2
CW;Eva;3;w;2
CW;Felicitas;3;w;2
CW;Feline;3;w;2
CW;Franziska;3;w;2
CW;Friederike;3;w;2
CW;Greta;3;w;2
CW;Hanna;3;w;2
CW;Iman;3;w;2
CW;Jasmin;3;w;2
CW;Josefine;3;w;2
CW;Juliane;3;w;2
CW;Kristina;3;w;2
CW;Liya;3;w;2
CW;Aaron;3;m;2
CW;Lotte;3;w;2
CW;Aslan;3;m;2
CW;Louisa;3;w;2
CW;Benedikt;3;m;2
CW;Mai;3;w;2
CW;Daniel;3;m;2
CW;Malia;3;w;2
CW;Dominik;3;m;2
CW;Malin;3;w;2
CW;Efe;3;m;2
CW;Malou;3;w;2
CW;Elia;3;m;2
CW;Margarete;3;w;2
CW;Emilio;3;m;2
CW;Margarethe;3;w;2
CW;Federico;3;m;2
CW;Marleen;3;w;2
CW;Frank;3;m;2
CW;Naz;3;w;2
CW;George;3;m;2
CW;Nur;3;w;2
CW;Gustav;3;m;2
CW;Paula;3;w;2
CW;Hamza;3;m;2
CW;Rahel;3;w;2
CW;Hans;3;m;2
CW;Rita;3;w;2
CW;Jacob;3;m;2
CW;Rose;3;w;2
CW;Jean;3;m;2
CW;Ruth;3;w;2
CW;Joel;3;m;2
CW;Sofia;3;w;2
CW;Konrad;3;m;2
CW;Teresa;3;w;2
CW;Leo;3;m;2
CW;Viola;3;w;2
CW;Magnus;3;m;2
CW;Yael;3;w;2
CW;Manuel;3;m;2
CW;Mateo;3;m;2
CW;Matti;3;m;2
CW;Maurice;3;m;2
CW;Michel;3;m;2
CW;Moussa;3;m;2
CW;Muhammed;3;m;2
CW;Nicolas;3;m;2
CW;Nikita;3;m;2
CW;Noel;3;m;2
CW;Oscar;3;m;2
CW;Oskar;3;m;2
CW;Pepe;3;m;2
CW;Phillip;3;m;2
CW;Rafael;3;m;2
CW;Raphael;3;m;2
CW;Santiago;3;m;2
CW;Simon;3;m;2
CW;Stefan;3;m;2
CW;Tobias;3;m;2
CW;Aino;3;w;1
CW;Alissa;3;w;1
CW;Amira;3;w;1
CW;Anastasia;3;w;1
CW;Ariella;3;w;1
CW;Aurora;3;w;1
CW;Avelina;3;w;1
CW;Aylin;3;w;1
CW;Celia;3;w;1
CW;Cora;3;w;1
CW;Daniela;3;w;1
CW;Diana;3;w;1
CW;Dunya;3;w;1
CW;Elise;3;w;1
CW;Elli;3;w;1
CW;Emilija;3;w;1
CW;Ena;3;w;1
CW;Alan;3;m;1
CW;Evelyn;3;w;1
CW;Andreas;3;m;1
CW;Felicitas;3;w;1
CW;Arel;3;m;1
CW;Fine;3;w;1
